"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"CIC",637.757465707965,0.753037213175398,0.0812653766561396,1.48521062671272e-21,1.2074087299435e-18
"TAF1D",219.241028494803,-0.831876826866735,0.0910227744141551,2.56325943551666e-21,1.99321282627024e-18
"CNOT7",200.901657662416,-0.619931937209934,0.0667980328713314,3.0868310869494e-21,2.21024608320004e-18
"XAB2",204.306154287574,0.590156536646255,0.0634698781677787,3.08952485770204e-21,2.21024608320004e-18
"DNAJB14",211.510297408092,-0.625475386994632,0.0676050413927648,3.91399050290015e-21,2.5926563016433e-18
"ZFHX3",3712.19052332968,-4.31312213514411,0.463563344572457,3.79246484925462e-21,2.5926563016433e-18
"ZNF710",390.14104873003,0.75189179967122,0.0826717040895078,7.31382731019173e-21,4.67170719438497e-18
"CLCN7",271.326223972863,0.795015791383767,0.0880912676613864,9.92554106520968e-21,6.12132075694052e-18
"INTS1",475.852465242592,0.80794728717912,0.0898002110550934,1.14785593816834e-20,6.84313448471362e-18
"EHMT1",521.953111330698,0.483178554559919,0.0525325928173704,1.32594068310079e-20,7.64982229588955e-18
"SH2D3C",664.936828018775,0.686978716579347,0.0757424948677899,1.44265322733957e-20,8.06307905342759e-18
"MED16",302.313838012405,0.843406116253392,0.0959367531001135,5.30618294913872e-20,2.87579036501049e-17
"RO60",199.584036907098,-0.621077296869435,0.0692720683099534,5.57780498156928e-20,2.93408947339314e-17
